id,abbr,electorate_name,u,v,region
1,AUC,Auckland Central,1850417,5965242,Auckland
2,BAN,Banks Peninsula,1612417,5199675,South Island
3,BAY,Bay of Plenty,1986417,5729683,BoP/East Coast/Hawkes Bay
4,BOT,Botany,1884417,5788572,Auckland
5,CHC,Christchurch Central,1544417,5199675,South Island
6,CHE,Christchurch East,1578417,5258565,South Island
7,COR,Coromandel,1952417,5788572,Waikato
8,DUN,Dunedin,1476417,5081896,South Island
9,EAS,East Coast,2054417,5729683,BoP/East Coast/Hawkes Bay
10,ECB,East Coast Bays,1748417,6024131,Auckland
11,EPS,Epsom,1816417,5906352,Auckland
12,HAE,Hamilton East,1884417,5670793,Waikato
13,HAW,Hamilton West,1816417,5670793,Waikato
14,HUT,Hutt South,1816417,5435234,Wellington
15,ILA,Ilam,1510417,5258565,South Island
16,INV,Invercargill,1408417,4964116,South Island
17,KAI,Kaikōura,1612417,5317455,South Island
18,KKM,Kaipara ki Mahurangi,1646417,6083021,Auckland
19,KEL,Kelston,1714417,5847462,Auckland
20,MAA,Mana,1782417,5494124,Wellington
21,MĀN,Māngere,1782417,5729683,Auckland
22,MRW,Manurewa,1918417,5729683,Auckland
23,MAU,Maungakiekie,1850417,5847462,Auckland
24,MTA,Mt Albert,1748417,5906352,Auckland
25,MTR,Mt Roskill,1782417,5847462,Auckland
26,NAP,Napier,2020417,5670793,BoP/East Coast/Hawkes Bay
27,NEL,Nelson,1578417,5376344,South Island
28,NWL,New Lynn,1680417,5788572,Auckland
29,NWP,New Plymouth,1646417,5611903,Taranaki/Whanganui/Manawatū
30,NSH,North Shore,1816417,6024131,Auckland
31,NCT,Northcote,1782417,5965242,Auckland
32,NLD,Northland,1612417,6141911,Northland
33,ŌHĀ,Ōhāriu,1748417,5435234,Wellington
34,ŌTA,Ōtaki,1748417,5553013,Taranaki/Whanganui/Manawatū
35,PAK,Pakuranga,1918417,5847462,Auckland
36,PAL,Palmerston North,1816417,5553013,Taranaki/Whanganui/Manawatū
37,PAN,Panmure-Ōtāhuhu,1816417,5788572,Auckland
38,PAP,Papakura,1850417,5729683,Auckland
39,POR,Port Waikato,1714417,5729683,Waikato
40,RAT,Rangitata,1510417,5140785,South Island
41,RAK,Rangitīkei,1782417,5611903,Taranaki/Whanganui/Manawatū
42,REM,Remutaka,1850417,5494124,Wellington
43,RON,Rongotai,1782417,5376344,Wellington
44,ROT,Rotorua,1952417,5670793,BoP/East Coast/Hawkes Bay
45,SEL,Selwyn,1442417,5140785,South Island
46,SOU,Southland,1340417,4964116,South Island
47,TAI,Taieri,1442417,5023006,South Island
48,TAK,Takanini,1748417,5788572,Auckland
49,TĀM,Tāmaki,1884417,5906352,Auckland
50,TAR,Taranaki-King Country,1680417,5670793,Waikato
51,TPŌ,Taupō,1850417,5611903,Waikato
52,TRN,Tauranga,2020417,5788572,BoP/East Coast/Hawkes Bay
53,TEA,Te Atatū,1714417,5965242,Auckland
54,TUK,Tukituki,1918417,5611903,BoP/East Coast/Hawkes Bay
55,UPP,Upper Harbour,1680417,6024131,Auckland
56,WAK,Waikato,1748417,5670793,Waikato
57,WAM,Waimakariri,1544417,5317455,South Island
58,WAR,Wairarapa,1884417,5553013,Wellington
59,WAT,Waitaki,1374417,5023006,South Island
60,WEL,Wellington Central,1714417,5376344,Wellington
61,WES,West Coast-Tasman,1408417,5081896,South Island
62,WHN,Whanganui,1714417,5611903,Taranaki/Whanganui/Manawatū
63,WHP,Whangaparāoa,1714417,6083021,Auckland
64,WHR,Whangārei,1680417,6141911,Northland
65,WIG,Wigram,1476417,5199675,South Island
66,HAU,Hauraki-Waikato,1986417,5140785,Waikato
67,IKA,Ikaroa-Rāwhiti,2020417,5081896,BoP/East Coast/Hawkes Bay
68,TMK,Tāmaki Makaurau,1952417,5199675,Auckland
69,TTH,Te Tai Hauāuru,1952417,5081896,Taranaki/Whanganui/Manawatū
70,TTK,Te Tai Tokerau,1918417,5258565,Northland
71,TTT,Te Tai Tonga,1918417,5023006,South Island
72,WAI,Waiariki,2054417,5140785,BoP/East Coast/Hawkes Bay
